Probe,List,Type,Rater1_01,Rater2_02,Rater1_03,Rater2_04,Rater1_05,Rater2_06,Rater1_07
cruiseship,3,U,1,0,0,1,1,1,1
lemon,2,T,0,0,1,1,0,0,0
gorilla,1,U,0,1,0,0,0,0,0
unicycle,3,U,0,1,1,0,0,1,1
hotairballoon,3,T,0,0,1,0,0,1,1
llama,1,U,0,0,0,0,0,1,1
skateboard,3,T,1,0,1,0,0,0,0
canoe,3,U,0,0,1,1,0,0,0
sailboat,3,T,0,0,0,0,1,1,1
blimp,3,U,0,1,1,0,1,1,1
lime,2,T,1,1,1,1,1,1,1
raspberries,2,U,0,0,0,0,0,1,1
panda,1,T,1,0,1,0,1,0,0
garlic,2,T,1,1,0,0,0,0,0
giraffe,1,U,0,1,1,0,1,0,1
radish,2,T,0,1,0,1,0,1,1
rhinoceros,1,T,1,1,0,0,1,1,1
donkey,1,T,0,0,0,1,0,0,0
hippo,1,U,0,0,1,1,0,0,0
raccoon,1,T,0,1,1,0,0,0,0
cauliflower,2,U,1,0,1,0,1,1,1
blueberries,2,U,0,0,1,1,1,1,1
cantaloupe,2,U,0,0,0,0,0,0,0
tricycle,3,U,1,1,0,1,0,1,1
watermelon,2,T,0,1,1,1,0,1,1
broccoli,2,T,1,0,1,1,0,1,1
submarine,3,U,1,1,0,0,1,1,1
porcupine,1,U,0,1,0,0,0,1,1
rollerblade,3,T,0,0,0,1,0,1,1
polarbear,1,T,0,1,1,1,1,0,0
