"ID","Task","Session","N.Sessions","Trial","Stimulus","Continuum","Step","VOT","Response"
"TIMETIME.001","Ganong",1,2,1,"gift_06","gift",6,42,0
"TIMETIME.001","Ganong",1,2,2,"gift_08","gift",8,55,0
"TIMETIME.001","Ganong",1,2,3,"giss_10","giss",10,68,1
"TIMETIME.001","Ganong",1,2,4,"giss_11","giss",11,74,1
"TIMETIME.001","Ganong",1,2,5,"gift_05","gift",5,36,0
"TIMETIME.001","Ganong",1,2,6,"giss_08","giss",8,55,1
"TIMETIME.001","Ganong",1,2,7,"giss_04","giss",4,29,0
"TIMETIME.001","Ganong",1,2,8,"giss_06","giss",6,42,0
"TIMETIME.001","Ganong",1,2,9,"gift_10","gift",10,68,1
"TIMETIME.001","Ganong",1,2,10,"gift_09","gift",9,61,0
"TIMETIME.001","Ganong",1,2,11,"giss_05","giss",5,36,0
"TIMETIME.001","Ganong",1,2,12,"giss_07","giss",7,49,0
"TIMETIME.001","Ganong",1,2,13,"giss_09","giss",9,61,1
"TIMETIME.001","Ganong",1,2,14,"gift_04","gift",4,29,0
"TIMETIME.001","Ganong",1,2,15,"gift_11","gift",11,74,0
"TIMETIME.001","Ganong",1,2,16,"gift_07","gift",7,49,0
"TIMETIME.001","Ganong",1,2,17,"giss_10","giss",10,68,1
"TIMETIME.001","Ganong",1,2,18,"gift_09","gift",9,61,0
"TIMETIME.001","Ganong",1,2,19,"gift_05","gift",5,36,0
"TIMETIME.001","Ganong",1,2,20,"gift_08","gift",8,55,1
"TIMETIME.001","Ganong",1,2,21,"gift_06","gift",6,42,0
"TIMETIME.001","Ganong",1,2,22,"giss_11","giss",11,74,1
"TIMETIME.001","Ganong",1,2,23,"gift_11","gift",11,74,1
"TIMETIME.001","Ganong",1,2,24,"gift_07","gift",7,49,0
"TIMETIME.001","Ganong",1,2,25,"giss_09","giss",9,61,0
"TIMETIME.001","Ganong",1,2,26,"giss_06","giss",6,42,0
"TIMETIME.001","Ganong",1,2,27,"gift_04","gift",4,29,0
"TIMETIME.001","Ganong",1,2,28,"giss_05","giss",5,36,0
"TIMETIME.001","Ganong",1,2,29,"gift_10","gift",10,68,1
"TIMETIME.001","Ganong",1,2,30,"giss_07","giss",7,49,1
"TIMETIME.001","Ganong",1,2,31,"giss_08","giss",8,55,0
"TIMETIME.001","Ganong",1,2,32,"giss_04","giss",4,29,0
"TIMETIME.001","Ganong",1,2,33,"giss_09","giss",9,61,0
"TIMETIME.001","Ganong",1,2,34,"gift_05","gift",5,36,0
"TIMETIME.001","Ganong",1,2,35,"giss_07","giss",7,49,0
"TIMETIME.001","Ganong",1,2,36,"giss_08","giss",8,55,1
"TIMETIME.001","Ganong",1,2,37,"giss_10","giss",10,68,1
"TIMETIME.001","Ganong",1,2,38,"gift_08","gift",8,55,0
"TIMETIME.001","Ganong",1,2,39,"gift_10","gift",10,68,1
"TIMETIME.001","Ganong",1,2,40,"giss_04","giss",4,29,0
"TIMETIME.001","Ganong",1,2,41,"giss_05","giss",5,36,0
"TIMETIME.001","Ganong",1,2,42,"gift_11","gift",11,74,1
"TIMETIME.001","Ganong",1,2,43,"giss_11","giss",11,74,1
"TIMETIME.001","Ganong",1,2,44,"gift_04","gift",4,29,0
"TIMETIME.001","Ganong",1,2,45,"giss_06","giss",6,42,0
"TIMETIME.001","Ganong",1,2,46,"gift_09","gift",9,61,0
"TIMETIME.001","Ganong",1,2,47,"gift_06","gift",6,42,0
"TIMETIME.001","Ganong",1,2,48,"gift_07","gift",7,49,1
"TIMETIME.001","Ganong",1,2,49,"giss_08","giss",8,55,1
"TIMETIME.001","Ganong",1,2,50,"gift_05","gift",5,36,0
"TIMETIME.001","Ganong",1,2,51,"giss_07","giss",7,49,0
"TIMETIME.001","Ganong",1,2,52,"gift_09","gift",9,61,0
"TIMETIME.001","Ganong",1,2,53,"gift_07","gift",7,49,1
"TIMETIME.001","Ganong",1,2,54,"giss_10","giss",10,68,1
"TIMETIME.001","Ganong",1,2,55,"gift_10","gift",10,68,1
"TIMETIME.001","Ganong",1,2,56,"gift_06","gift",6,42,0
"TIMETIME.001","Ganong",1,2,57,"giss_04","giss",4,29,0
"TIMETIME.001","Ganong",1,2,58,"gift_08","gift",8,55,1
"TIMETIME.001","Ganong",1,2,59,"giss_06","giss",6,42,0
"TIMETIME.001","Ganong",1,2,60,"giss_05","giss",5,36,0
"TIMETIME.001","Ganong",1,2,61,"gift_11","gift",11,74,1
"TIMETIME.001","Ganong",1,2,62,"gift_04","gift",4,29,0
"TIMETIME.001","Ganong",1,2,63,"giss_11","giss",11,74,1
"TIMETIME.001","Ganong",1,2,64,"giss_09","giss",9,61,1
"TIMETIME.001","Ganong",1,2,65,"giss_11","giss",11,74,1
"TIMETIME.001","Ganong",1,2,66,"gift_06","gift",6,42,0
"TIMETIME.001","Ganong",1,2,67,"giss_08","giss",8,55,0
"TIMETIME.001","Ganong",1,2,68,"gift_09","gift",9,61,1
"TIMETIME.001","Ganong",1,2,69,"gift_11","gift",11,74,1
"TIMETIME.001","Ganong",1,2,70,"giss_07","giss",7,49,0
"TIMETIME.001","Ganong",1,2,71,"gift_10","gift",10,68,1
"TIMETIME.001","Ganong",1,2,72,"giss_05","giss",5,36,0
"TIMETIME.001","Ganong",1,2,73,"gift_04","gift",4,29,0
"TIMETIME.001","Ganong",1,2,74,"gift_07","gift",7,49,0
"TIMETIME.001","Ganong",1,2,75,"gift_05","gift",5,36,0
"TIMETIME.001","Ganong",1,2,76,"giss_10","giss",10,68,1
"TIMETIME.001","Ganong",1,2,77,"gift_08","gift",8,55,1
"TIMETIME.001","Ganong",1,2,78,"giss_09","giss",9,61,0
"TIMETIME.001","Ganong",1,2,79,"giss_04","giss",4,29,0
"TIMETIME.001","Ganong",1,2,80,"giss_06","giss",6,42,0
"TIMETIME.001","Ganong",1,2,81,"gift_08","gift",8,55,1
"TIMETIME.001","Ganong",1,2,82,"gift_10","gift",10,68,1
"TIMETIME.001","Ganong",1,2,83,"gift_04","gift",4,29,0
"TIMETIME.001","Ganong",1,2,84,"giss_05","giss",5,36,0
"TIMETIME.001","Ganong",1,2,85,"giss_10","giss",10,68,1
"TIMETIME.001","Ganong",1,2,86,"giss_08","giss",8,55,1
"TIMETIME.001","Ganong",1,2,87,"gift_07","gift",7,49,0
"TIMETIME.001","Ganong",1,2,88,"giss_06","giss",6,42,0
"TIMETIME.001","Ganong",1,2,89,"giss_09","giss",9,61,1
"TIMETIME.001","Ganong",1,2,90,"gift_05","gift",5,36,0
"TIMETIME.001","Ganong",1,2,91,"gift_11","gift",11,74,1
"TIMETIME.001","Ganong",1,2,92,"gift_09","gift",9,61,1
"TIMETIME.001","Ganong",1,2,93,"gift_06","gift",6,42,0
"TIMETIME.001","Ganong",1,2,94,"giss_04","giss",4,29,0
"TIMETIME.001","Ganong",1,2,95,"giss_07","giss",7,49,0
"TIMETIME.001","Ganong",1,2,96,"giss_11","giss",11,74,1
"TIMETIME.001","Ganong",2,2,1,"giss_04","giss",4,29,0
"TIMETIME.001","Ganong",2,2,2,"giss_06","giss",6,42,0
"TIMETIME.001","Ganong",2,2,3,"giss_10","giss",10,68,1
"TIMETIME.001","Ganong",2,2,4,"giss_08","giss",8,55,1
"TIMETIME.001","Ganong",2,2,5,"giss_09","giss",9,61,1
"TIMETIME.001","Ganong",2,2,6,"gift_05","gift",5,36,0
"TIMETIME.001","Ganong",2,2,7,"gift_04","gift",4,29,0
"TIMETIME.001","Ganong",2,2,8,"gift_11","gift",11,74,1
"TIMETIME.001","Ganong",2,2,9,"gift_08","gift",8,55,1
"TIMETIME.001","Ganong",2,2,10,"gift_10","gift",10,68,1
"TIMETIME.001","Ganong",2,2,11,"giss_05","giss",5,36,0
"TIMETIME.001","Ganong",2,2,12,"giss_07","giss",7,49,0
"TIMETIME.001","Ganong",2,2,13,"gift_07","gift",7,49,0
"TIMETIME.001","Ganong",2,2,14,"gift_06","gift",6,42,0
"TIMETIME.001","Ganong",2,2,15,"giss_11","giss",11,74,1
"TIMETIME.001","Ganong",2,2,16,"gift_09","gift",9,61,1
"TIMETIME.001","Ganong",2,2,17,"giss_10","giss",10,68,1
"TIMETIME.001","Ganong",2,2,18,"giss_06","giss",6,42,0
"TIMETIME.001","Ganong",2,2,19,"gift_10","gift",10,68,0
"TIMETIME.001","Ganong",2,2,20,"giss_11","giss",11,74,1
"TIMETIME.001","Ganong",2,2,21,"giss_05","giss",5,36,0
"TIMETIME.001","Ganong",2,2,22,"giss_09","giss",9,61,1
"TIMETIME.001","Ganong",2,2,23,"gift_08","gift",8,55,0
"TIMETIME.001","Ganong",2,2,24,"gift_04","gift",4,29,0
"TIMETIME.001","Ganong",2,2,25,"giss_08","giss",8,55,0
"TIMETIME.001","Ganong",2,2,26,"gift_07","gift",7,49,0
"TIMETIME.001","Ganong",2,2,27,"gift_09","gift",9,61,0
"TIMETIME.001","Ganong",2,2,28,"gift_05","gift",5,36,0
"TIMETIME.001","Ganong",2,2,29,"gift_06","gift",6,42,0
"TIMETIME.001","Ganong",2,2,30,"gift_11","gift",11,74,1
"TIMETIME.001","Ganong",2,2,31,"giss_04","giss",4,29,0
"TIMETIME.001","Ganong",2,2,32,"giss_07","giss",7,49,0
"TIMETIME.001","Ganong",2,2,33,"giss_04","giss",4,29,0
"TIMETIME.001","Ganong",2,2,34,"giss_10","giss",10,68,1
"TIMETIME.001","Ganong",2,2,35,"gift_04","gift",4,29,0
"TIMETIME.001","Ganong",2,2,36,"gift_09","gift",9,61,1
"TIMETIME.001","Ganong",2,2,37,"giss_07","giss",7,49,0
"TIMETIME.001","Ganong",2,2,38,"giss_08","giss",8,55,1
"TIMETIME.001","Ganong",2,2,39,"gift_08","gift",8,55,1
"TIMETIME.001","Ganong",2,2,40,"giss_06","giss",6,42,0
"TIMETIME.001","Ganong",2,2,41,"gift_06","gift",6,42,0
"TIMETIME.001","Ganong",2,2,42,"gift_05","gift",5,36,0
"TIMETIME.001","Ganong",2,2,43,"giss_11","giss",11,74,1
"TIMETIME.001","Ganong",2,2,44,"giss_05","giss",5,36,0
"TIMETIME.001","Ganong",2,2,45,"gift_10","gift",10,68,1
"TIMETIME.001","Ganong",2,2,46,"gift_11","gift",11,74,1
"TIMETIME.001","Ganong",2,2,47,"giss_09","giss",9,61,1
"TIMETIME.001","Ganong",2,2,48,"gift_07","gift",7,49,0
"TIMETIME.001","Ganong",2,2,49,"giss_07","giss",7,49,0
"TIMETIME.001","Ganong",2,2,50,"gift_11","gift",11,74,1
"TIMETIME.001","Ganong",2,2,51,"giss_08","giss",8,55,0
"TIMETIME.001","Ganong",2,2,52,"giss_09","giss",9,61,1
"TIMETIME.001","Ganong",2,2,53,"giss_11","giss",11,74,1
"TIMETIME.001","Ganong",2,2,54,"gift_06","gift",6,42,0
"TIMETIME.001","Ganong",2,2,55,"gift_07","gift",7,49,0
"TIMETIME.001","Ganong",2,2,56,"gift_08","gift",8,55,1
"TIMETIME.001","Ganong",2,2,57,"gift_10","gift",10,68,1
