,word,freq,aoa,length,cat,difficulty,aoa_wrong
7,ambulance,2.862,6.16,9,Vehicle,0.772,3
90,anchor,2.276,5.72,5,Misc.,0.118,3
142,apple,2.839,4.15,4,"food, fruit",-1.462,3
74,baby,3.707,3.84,4,Person,-1.72,2
139,ball,3.316,2.9,3,Toy,-1.433,
121,balloon,2.418,4.37,5,Toy,-1.23,3
151,banana,2.513,3.78,6,"food, fruit",-1.148,
86,basket,2.632,5.67,6,"Object, manipulable",-0.914,
28,bat,2.75,4.85,3,"Animal, other",-0.54,2
3,beard,2.602,4.84,4,Body part,0.137,
67,bed,3.614,2.89,3,Furniture,-1.687,3
95,bell,3.015,3.89,3,"Object, manipulable",-0.89,1
173,belt,2.924,4.62,4,Clothing,-0.841,3
109,bench,2.535,4.21,4,Furniture,0.137,1
26,binoculars,1.845,6.79,11,"Object, manipulable",1.029,
82,bone,2.932,5.53,3,Body part,-1.463,3
131,book,3.511,3.68,3,"Object, manipulable",-1.525,3
153,boot,2.574,3.89,3,Clothing,-0.325,3
137,bottle,3.194,3.56,5,"Object, manipulable",-0.201,3
136,bowl,2.834,4.26,3,"Object, manipulable",0.059,
147,bread,2.956,3.58,4,"Food, other",-1.068,3
46,bride,2.806,5.1,4,Person,0.098,
126,bridge,3.02,5.58,4,"Object, structural",-0.475,3
58,broom,2.255,5.5,4,"Object, manipulable",-0.283,1
132,bus,3.189,3.85,3,Vehicle,-0.89,2
60,butterfly,2.272,3.67,8,"Animal, other",0.157,3
96,cake,3.078,3.26,3,"Food, other",-0.817,
148,calendar,2.362,5.89,8,Misc.,-0.1,2
168,camel,2.143,5.11,5,"Animal, 4 footed",-0.14,1
66,camera,3.142,6,6,"Object, manipulable",-0.367,3
149,can,3.922,4.32,3,"Food, other",-0.242,3
48,candle,2.465,5.37,6,Furniture,-0.388,3
52,cane,2.212,5.74,3,Misc.,-1.067,2
2,cannon,2.408,7.9,5,Misc.,0.157,3
116,carrot,2.093,2.74,5,"food, vegetable",-0.586,3
81,cat,3.142,3.68,3,"Animal, 4 footed",-2.008,2
43,celery,1.806,5.78,6,"food, vegetable",0.521,3
152,chair,3.191,3.43,3,Furniture,-0.991,3
8,cheerleaders,2.267,6,8,Person,0.772,3
34,chimney,2.146,6.58,5,"Object, structural",0.426,3
91,church,3.127,5.15,4,"Object, structural",-0.745,3
77,clock,3.215,4.42,4,Furniture,-0.965,
76,closet,2.948,5,6,"Object, structural",0.176,3
63,clown,2.65,3.72,4,Person,-0.653,3
53,comb,2.346,5.5,3,"Object, manipulable",-1.148,2
88,corn,2.606,4.61,4,"food, vegetable",-1.23,
140,cow,2.863,3.94,2,"Animal, 4 footed",-0.915,3
55,cowboy,2.684,4.55,4,Person,0.059,3
94,cross,3.231,4.74,4,Misc.,-0.496,3
45,crown,2.561,7.8,4,Misc.,0.079,2
