sourceFile,minTime,maxTime,mark,count,pos,concreteness
track01,0.02,0.30859,ALICE,198,NN,NA
track01,2.56454,2.95036,SISTER,2,NN,575
track01,3.17,3.50228,BANK,2,NN,573
track01,4.11,4.42,NOTHING,19,NN,NA
track01,6.56,6.83985,BOOK,5,NN,609
track01,6.9145,7.25,SISTER,2,NN,575
track01,8.36,8.90999,PICTURES,4,NNS,NA
track01,8.97,9.78124,CONVERSATIONS,2,NNS,NA
track01,10.71,10.98584,USE,11,NN,NA
track01,11.11489,11.36135,BOOK,5,NN,609
track01,11.36135,11.70056,THOUGHT,40,NN,274
track01,11.70056,12.01045,ALICE,198,NN,NA
track01,12.35424,12.78648,PICTURES,4,NNS,NA
track01,12.85153,13.68,CONVERSATIONS,2,NNS,NA
track01,15.60865,16.01174,MIND,9,NN,333
track01,17.8,17.98309,DAY,11,NN,477
track01,20.48,20.87948,PLEASURE,1,NN,302
track01,21.34,21.71804,DAISY,1,NN,613
track01,21.71804,21.95,CHAIN,1,NN,595
track01,22.5,22.8,TROUBLE,3,NN,310
track01,23.94,24.54594,DAISIES,1,NNS,NA
track01,25.77,26.08541,RABBIT,16,NN,635
track01,26.52824,26.82,EYES,14,NNS,NA
track01,28.21,28.50536,NOTHING,19,NN,NA
track01,30.26898,30.62832,ALICE,198,NN,NA
track01,32.07,32.27,WAY,38,NN,265
track01,32.62,32.95597,RABBIT,16,NN,635
track01,34.97,35.09908,I,256,NN,483
track01,36.507,36.74,THOUGHT,40,NN,274
track01,37.14,37.72039,AFTERWARDS,1,NNS,NA
track01,40.7,41.06282,TIME,39,NN,343
track01,42.88,43.21691,RABBIT,16,NN,635
track01,44.07197,44.56482,WATCH,7,NN,487
track01,44.97,45.27725,WAIST,2,NN,563
track01,45.27725,45.54877,COAT,2,NN,601
track01,45.54877,46.0384,POCKET,5,NN,578
track01,47.79686,48.03,ALICE,198,NN,NA
track01,48.5,48.85445,FEET,13,NNS,642
track01,49.77,50.21552,MIND,9,NN,333
track01,51.53966,51.87855,RABBIT,16,NN,635
track01,52.85,53.15937,WAIST,2,NN,563
