ID,LTRS,PR
IshidaETAL.001,2.913050249,1.416666667
IshidaETAL.002,1.116263396,-0.8
IshidaETAL.003,0.495988371,1.5
IshidaETAL.004,0.668186273,-0.8576466
IshidaETAL.005,2.104982051,0.3
IshidaETAL.006,2.809579429,0.116666667
IshidaETAL.007,1.306568835,0.607407407
IshidaETAL.008,1.35430393,-0.010734463
IshidaETAL.009,1.496358625,-0.565254237
IshidaETAL.010,1.715245921,0.8
IshidaETAL.011,1.621058067,0.694047619
IshidaETAL.012,1.776376197,-0.3
IshidaETAL.013,2.133238691,-0.104460633
IshidaETAL.014,1.621562055,-0.308045977
IshidaETAL.015,2.159477596,0.983333333
IshidaETAL.016,2.570558482,0.4
IshidaETAL.017,2.75434955,0.580508475
IshidaETAL.018,1.795952211,-0.516666667
IshidaETAL.019,2.221467844,1.283333333
IshidaETAL.020,-0.186248363,-0.618644068
IshidaETAL.021,1.24557152,0.192372881
IshidaETAL.022,1.316703457,-0.983333333
IshidaETAL.023,1.752259353,0.233333333
IshidaETAL.024,0.808643086,0.216666667
IshidaETAL.025,2.903671535,0.540960452
IshidaETAL.026,0.981775766,-0.583333333
IshidaETAL.027,0.662383916,-0.533333333
IshidaETAL.028,2.073997611,0.727118644
IshidaETAL.029,3.661727203,0.364971751
IshidaETAL.030,3.124327145,0.150847458
IshidaETAL.031,3.729751428,1.05
IshidaETAL.032,0.90800878,0.183333333
IshidaETAL.033,1.65940808,1.037366063
IshidaETAL.034,0.214222935,-0.224293785
IshidaETAL.035,2.289308778,-0.103057494
IshidaETAL.036,1.650538177,0.45
IshidaETAL.037,1.857486341,-0.092982456
IshidaETAL.038,1.825409509,0.714942529
IshidaETAL.039,2.621368799,0.217514124
IshidaETAL.040,2.623592366,0.702274755
IshidaETAL.041,0.970297724,-0.066666667
IshidaETAL.042,1.736897186,0.6
IshidaETAL.043,1.668278257,-0.105649718
IshidaETAL.044,1.423316943,-0.383333333
IshidaETAL.045,1.305678399,-1.416666667
IshidaETAL.046,3.425895421,0.566666667
IshidaETAL.047,1.15174779,1.051129944
IshidaETAL.048,0.909205887,-0.751412429
IshidaETAL.049,1.915604535,1.346697838
IshidaETAL.050,1.246948633,-0.333050847
IshidaETAL.051,1.709013205,0.23908046
IshidaETAL.052,2.019796494,0.835875706
