"ID","Task","Session","N.Sessions","Counterbalance","Trial","Stimulus.1","Stimulus.2","Structure","Reversal","Response"
"TIMETIME.001","LTRS",1,2,"LTRS_CB2_4060_24items",1,"re_60_M_s_w_competition_70","F_s_w_competition_70","WW",60,"Different"
"TIMETIME.001","LTRS",1,2,"LTRS_CB2_4060_24items",2,"re_60_M_s_nw_establishment_70","F_s_nw_establishment_70","NN",60,"Different"
"TIMETIME.001","LTRS",1,2,"LTRS_CB2_4060_24items",3,"re_60_M_s_w_identical_70","F_s_nw_identical_70","WN",60,"Different"
"TIMETIME.001","LTRS",1,2,"LTRS_CB2_4060_24items",4,"re_40_M_s_w_understandable_70","F_s_nw_understandable_70","WN",40,"Different"
"TIMETIME.001","LTRS",1,2,"LTRS_CB2_4060_24items",5,"re_40_M_s_w_remarkable_70","F_s_nw_remarkable_70","WN",40,"Different"
"TIMETIME.001","LTRS",1,2,"LTRS_CB2_4060_24items",6,"re_40_M_s_nw_contemporary_70","F_s_nw_contemporary_70","NN",40,"Same"
"TIMETIME.001","LTRS",1,2,"LTRS_CB2_4060_24items",7,"re_60_M_s_nw_documentary_70","F_s_w_documentary_70","NW",60,"Same"
"TIMETIME.001","LTRS",1,2,"LTRS_CB2_4060_24items",8,"re_60_M_s_nw_category_70","F_s_w_category_70","NW",60,"Same"
"TIMETIME.001","LTRS",1,2,"LTRS_CB2_4060_24items",9,"re_60_M_s_nw_appointment_70","F_s_w_appointment_70","NW",60,"Different"
"TIMETIME.001","LTRS",1,2,"LTRS_CB2_4060_24items",10,"re_60_M_s_w_documentary_70","F_s_w_documentary_70","WW",60,"Same"
"TIMETIME.001","LTRS",1,2,"LTRS_CB2_4060_24items",11,"re_40_M_s_nw_remarkable_70","F_s_w_remarkable_70","NW",40,"Different"
"TIMETIME.001","LTRS",1,2,"LTRS_CB2_4060_24items",12,"re_60_M_s_nw_interrupted_70","F_s_nw_interrupted_70","NN",60,"Same"
"TIMETIME.001","LTRS",1,2,"LTRS_CB2_4060_24items",13,"re_40_M_s_w_certificate_70","F_s_w_certificate_70","WW",40,"Same"
"TIMETIME.001","LTRS",1,2,"LTRS_CB2_4060_24items",14,"re_60_M_s_w_satisfactory_70","F_s_w_satisfactory_70","WW",60,"Same"
"TIMETIME.001","LTRS",1,2,"LTRS_CB2_4060_24items",15,"re_60_M_s_nw_particular_70","F_s_nw_particular_70","NN",60,"Different"
"TIMETIME.001","LTRS",1,2,"LTRS_CB2_4060_24items",16,"re_60_M_s_w_academic_70","F_s_nw_academic_70","WN",60,"Same"
"TIMETIME.001","LTRS",1,2,"LTRS_CB2_4060_24items",17,"re_60_M_s_nw_appointment_70","F_s_nw_appointment_70","NN",60,"Same"
"TIMETIME.001","LTRS",1,2,"LTRS_CB2_4060_24items",18,"re_60_M_s_w_satisfactory_70","F_s_nw_satisfactory_70","WN",60,"Same"
"TIMETIME.001","LTRS",1,2,"LTRS_CB2_4060_24items",19,"re_40_M_s_w_remarkable_70","F_s_w_remarkable_70","WW",40,"Same"
"TIMETIME.001","LTRS",1,2,"LTRS_CB2_4060_24items",20,"re_40_M_s_w_understandable_70","F_s_w_understandable_70","WW",40,"Different"
"TIMETIME.001","LTRS",1,2,"LTRS_CB2_4060_24items",21,"re_40_M_s_nw_acceptable_70","F_s_nw_acceptable_70","NN",40,"Same"
"TIMETIME.001","LTRS",1,2,"LTRS_CB2_4060_24items",22,"re_60_M_s_nw_academic_70","F_s_nw_academic_70","NN",60,"Same"
"TIMETIME.001","LTRS",1,2,"LTRS_CB2_4060_24items",23,"re_60_M_s_w_interrupted_70","F_s_nw_interrupted_70","WN",60,"Different"
"TIMETIME.001","LTRS",1,2,"LTRS_CB2_4060_24items",24,"re_60_M_s_w_identical_70","F_s_w_identical_70","WW",60,"Different"
