"ID","Task","Session","N.Sessions","Counterbalance","Block","Trial","Item","Stimulus.1","Stimulus.2","Type","Response"
"TIMETIME.001","PR",1,2,"WN","Nonword",1,"Filler","F31_NW_obstilunzoo_A_70","F31_NW_obstilunzoo_70","Added",7
"TIMETIME.001","PR",1,2,"WN","Nonword",2,"Filler","F08_NW_byelemmuddizzan_R_70","F08_NW_byelemmuddizzan_70","Replaced",2
"TIMETIME.001","PR",1,2,"WN","Nonword",3,"Liquid","E19L_NW_ossiterate_W_A_70","E19L_NW_ossiterate_W_70","Added",7
"TIMETIME.001","PR",1,2,"WN","Nonword",4,"Nasal","E26N_NW_rudipshunnist_W_A_70","E26N_NW_rudipshunnist_W_70","Added",6
"TIMETIME.001","PR",1,2,"WN","Nonword",5,"Filler","F40_NW_unemsarlint_A_70","F40_NW_unemsarlint_70","Added",5
"TIMETIME.001","PR",1,2,"WN","Nonword",6,"Liquid","E16L_NW_mestivalent_W_R_70","E16L_NW_mestivalent_W_70","Replaced",6
"TIMETIME.001","PR",1,2,"WN","Nonword",7,"Nasal","E18N_NW_voplortational_NW_A_70","E18N_NW_voplortational_NW_70","Added",7
"TIMETIME.001","PR",1,2,"WN","Nonword",8,"Liquid","E25L_NW_jottekular_W_A_70","E25L_NW_jottekular_W_70","Added",7
"TIMETIME.001","PR",1,2,"WN","Nonword",9,"Filler","F31_NW_obstilunzoo_R_70","F31_NW_obstilunzoo_70","Replaced",4
"TIMETIME.001","PR",1,2,"WN","Nonword",10,"Liquid","E22L_NW_kwatobilise_W_R_70","E22L_NW_kwatobilise_W_70","Replaced",4
"TIMETIME.001","PR",1,2,"WN","Nonword",11,"Nasal","E24N_NW_stantogamy_W_A_70","E24N_NW_stantogamy_W_70","Added",6
"TIMETIME.001","PR",1,2,"WN","Nonword",12,"Liquid","E01L_NW_vabbellerate_W_R_70","E01L_NW_vabbellerate_W_70","Replaced",5
"TIMETIME.001","PR",1,2,"WN","Nonword",13,"Filler","F28_NW_magnippennust_A_70","F28_NW_magnippennust_70","Added",7
"TIMETIME.001","PR",1,2,"WN","Nonword",14,"Filler","F20_NW_extrottaparta_A_70","F20_NW_extrottaparta_70","Added",6
